שם הרשת, שם החנות,כתובת, מחיר 
קשת טעמים, קרית אליעזר, תל אביב 11 חיפה, 14.90 
קשת טעמים, הדר, שבתאי לוי 21 חיפה, 14.90 
טיב טעם, קריות, חלוצי התעשיה 116 מפרץ חיפה חיפה, 14.90 
אושר עד, חיפה, דרך בר יהודה 31 חיפה, 14.90 
קשת טעמים, קרית חיים חדש, איצטדיון 5 חיפה, 14.90 
סטופמרקט, קסטרא, דרך משה פלימן 8 חיפה, 14.90 
סטופמרקט, איינשטיין, איינשטיין 139 חיפה, 14.90 
רמי לוי, קניון עזריאלי חיפה, דרך משה פלימן 4 חיפה, 15.90 
רמי לוי, צק פוסט, מרכז ביג צ'ק פוסט ישראל בר יהודה 111 חיפה, 15.90 
שופרסל דיל, חיפה- גרנד קניון, שמחה גולן 54 חיפה, 15.90 
רמי לוי, אדמרליטי, חלוצי התעשיה 73 פינת יגאל ידין חיפה, 15.90 
ויקטורי, שער העליה, שלוסברג 1 חיפה, 15.90 
שופרסל דיל, חיפה- קרית אליעזר, ככר מאירהוף חיפה, 15.90 
יוחננוף, חוצות המפרץ, החרושת 10 חיפה, 15.90 
שופרסל דיל, אדמירליטי חיפה- איטי, יהודה איטין 4 חיפה, 15.90 
שופרסל דיל, רמת הנשיא חיפה, שלמה המלך 55 חיפה, 15.90 
מחסני מזון, קריית אליעזר, כיכר מאירהוף 4 חיפה, 16.90 
מחסני להב, רמז, זלמן שניאור 1 חיפה, 17.90 
מגה בעיר, אודיטוריום חיפה, 134 שדרות הנשיא חיפה, 18.90 
שופרסל שלי, חיפה- כרמל, הנשיא 124 חיפה, 18.90 
מגה בעיר, רמות אלון, 29 יגאל אלון חיפה, 18.90 
מגה בעיר, בת גלים, 37 העליה השניה חיפה, 18.90 
שופרסל שלי, חיפה- חורב, חורב 15 חיפה, 18.90 
שופרסל אקספרס, דניה, חיים הזז 5 חיפה, 18.90 
שופרסל אקספרס, -נשר מרגנית, נשר המרגנית 1 חיפה, 18.90 
שופרסל אקספרס, יותם, יותם 20 חיפה, 18.90 
שופרסל שלי, חיפה- רמות ספיר, רח' גוט לוין 48 חיפה, 18.90 
שופרסל שלי, חיפה- אורן, רח.אורן 25 רוממה חיפה, 18.90 
שופרסל שלי, חיפה- נתיב חן, נתיב חן 1 חיפה, 18.90 
שופרסל אקספרס, חיפה- ראול ולנברג, ראול וולנברג 9 חיפה, 18.90 
שופרסל שלי, קרית חיים- דגניה, דגניה 14 חיפה, 18.90 
שופרסל שלי, חיפה- קלר, קלר 7 חיפה, 18.90 
שופרסל שלי, חיפה- דניה, ליבריה 2 דניה חיפה, 18.90 
שופרסל שלי, חיפה- סטלה, טשרניחובסקי/35 חיפה, 18.90 
מגה בעיר, גרינברג חיפה, 20 א.צ גרינברג חיפה, 18.90 
רמי לוי באינטרנט, undefined, https://www.rami-levy.co.il, 15.20 
מגה אונליין, undefined, https://www.mega.co.il, 15.90 
חצי חינם אונליין, undefined, https://shop.hazi-hinam.co.il/, 15.90 
שוק העיר אונליין, undefined, https://www.shukcity.co.il/, 18.90 
